Internship Program,Organisation,Country,Link,Eligibility (BSMS years),Subject,Duration,Deadline,Paid
Summer Project Program,NISER Bhubaneshwar,India,https://www.niser.ac.in/sps/scholarship/summer-project-programme-2023,"3, 4, 5",Physics,1-2 months,20-Apr,Paid
Summer Internship Program,PRL Ahmedabad,India,https://www.prl.res.in/prl-eng/summer_internship,"1, 2, 3, 4, 5","Physics, ECS, Chemistry",1-2 months,01-May,Partially paid
IISER-K Summer Student Research Programme,IISER Kolkata,India,https://www.iiserkol.ac.in/~summer.research/,-,Listed Projects,2 months,10-Apr,Unpaid
Summer Internship Program,IIIT Allahabad,India,https://internship.iiita.ac.in/,-,Contact faculty,2-3 months,11-May,Fees
Summer Internship Programme,Indian Institute of Petroleum and Energy,India,https://iipe.ac.in/sip,8th sem,"Physics, ECS, Chemistry",2 months,31-Mar,Paid
Summer Internship,IIT Palakkad,India,https://sun.iitpkd.ac.in/,"4, 5",Listed Projects,1-2 months,14-Apr,Paid
Summer Research Internship Program,IIT Gandhinagar,India,https://srip.iitgn.ac.in/info/,-,-,-,-,-
SURGE,IIT Kanpur,India,https://surge.iitk.ac.in/components.html,"4, 5","Physics, Chemistry, Maths, Biology, ECS",2 months,15-Feb,-
Summer Training,Bose Institute,India,http://www.jcbose.ac.in/summer-training,"3, 4, 5","Biology, Physics, Chemistry",2 months,20-Mar,-
Summer Intern Fellowship,IIT Kharagpur,India,http://www.jcbose.ac.in/summer-training,"4, 5","Physics, Maths, Chemistry (listed projects)",-,29 Feb,-
Summer Research Program,IISER Mohali,India,https://www.iisermohali.ac.in/home/front-page-articles/summer-research-program-2023,"2, 3, 4",Listed Projects,2-3 months,14-Apr,-
Caltech SURF ,Caltech,US,https://sfp.caltech.edu/undergraduate-research/programs/surf/eligibility_requirements,"2, 3, 4","Phyics, Chemistry, Maths, Biology, ECS",2-3 months,22-Feb,
Space Astronomy Summer Program,Space Telescope Science Institute (STScI),US,http://www.stsci.edu/opportunities/space-astronomy-summer-program,"2, 3, 4","Physics, Astronomy, Maths",2-3 months,Jan,Paid
Chemers Neustein Summer Undergraduate Research Fellowship Program,Rockefeller University,US,https://www.rockefeller.edu/education-and-training/surf/,"2, 3, 4","Biology, Chemistry, Physics, Interdisciplinary",2-3 months,End Jan,Paid
Data Science for Social Good Summer Fellowship,Carnegie Mellon University,US,https://www.dssgfellowship.org/,"4, 5","Physics, Maths, Data Science, CS",3 months,-,Paid
Robotics Institute for Summer Scholars (RISS),Carnegie Mellon University,US,https://riss.ri.cmu.edu/,-,"Physics, Robotics, AI, CS",2-3 months,Dec,Paid
Santa Fe Undergraduate Complexity Research (UCR),Santa Fe Institute,US,https://www.santafe.edu/engage/learn/programs/undergraduate-complexity-research,"1, 2, 3, 4","Physics, Maths, Biology",2-3 months,-,Paid
Summer Research Program,Princeton University,US,https://undergraduateresearch.princeton.edu/programs/summer-programs?field_princeton_status_eligibili_value=Non-Princeton+undergrads&field_class_year_eligibility_value=Juniors&field_division_value=Engineering,check,"Physics, Chemistry, Maths, Biology, ECS",-,-,-
International Student Research Internship Program, McKelvey School of Engineering,US,https://engineering.wustl.edu/academics/undergraduate-research/international-student-research-internship-program.html,"2, 3","Physics, Chemistry, CS",2-3 months,15-Feb,Paid
Global Talent Attraction Program,Indiana University Bloomington,US,https://luddy.indiana.edu/research/student-research/fellowship.html,"1, 2, 3, 4, 5","CS, Data Science",2-3 months,-,-
Biology and Chemistry Computational Research (BioChemCoRe),UC San Diego,US,https://summer.ucsd.edu/program-finder/biochemcore.html,,"Biology, Physics, Chemistry",-,-,-
Institute for Creative Technologies Summer Internship,"ICT, USC Viterbi",US,https://ict.usc.edu/careers/internships/,"1, 2, 3, 4, 5","Simulation, Interactive Media, Virtual Reality",3 months,,
Summer Undergraduate Research Fellowship (SURF),Stanford,US,https://engineering.stanford.edu/students-academics/equity-and-inclusion-initiatives/prospective-graduate-programs/summer,"2, 3, 4, 5","Physics, Engineering, Programming, Chemistry",2 months,01-Feb,Paid
LPI Summer Intern Program in Planetary Science,Lunar and Planetary Insitute,US,https://www.lpi.usra.edu/lpiintern/,"1, 2, 3, 4, 5","Physics, Maths, ECS",2-3 months,Early Dec,Paid
MITACS Globalink Research Internship,Canadian Universities,Canada,https://www.mitacs.ca/en/programs/globalink/globalink-research-internship,"3, 4","Physics, Chemistry, Maths, Biology, ECS",2-3 months,Mid Sept,Paid
Student internship Max Planck Institute for Gravitational Physics,Albert Einstein Institute,Germany,https://www.aei.mpg.de/student-internships,-,Physics,-,01-Mar,Unpaid
DAAD WISE Scholarship,German public institutes,Germany,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50015295,"3, 4","Physics, Chemistry, Maths, Biology, ECS",2-3 months,16-Oct,Paid
Summer Student Program HZDR,Helmholtz Zentrum Dresden Rossendorf,Germany,https://www.hzdr.de/db/Cms?pOid=34387&pNid=2519,"4, 5","Physics, Biology",1-2 months (July-Sept),28-Feb,Paid
Max Planck Summer Internship Program (MaxSIP),IMPRS,Germany,https://imprs-ls.opencampus.net/en/maxsip_application_info,"2, 3, 4, 5","Biology, Chemistry, Biophysics",-,15-Feb,-
Summer Research Programme,European Southern Observatory (ESO),Germany,https://www.eso.org/sci/meetings/2023/SummerResearch2023.html,"3, 4, 5",Physics,1-2 months,Jan,Paid
CERN openlab summer student programme,CERN,Switzerland,https://openlab.cern/education/cern-openlab-summer-student-programme,"4, 5","CS, Physics",2-3 months,30-Jan,Paid
EPFL Excellence in Engineering (E3) Program,EPFL,Switzerland,https://eee.epfl.ch/,"3, 4, 5","Biology, Chemistry, Maths, Physics, CS",2-3 months,Nov-Dec (?),Paid
Summer at EPFL,EPFL,Switzerland,https://summer.epfl.ch/,"2, 3, 4, 5",Engg,2-3 months,01-Dec,Paid
ThinkSwiss Research Scholarships,Swissnex,Switzerland,https://swissnex.org/india/thinkswiss/,"3, 4, 5 (find PI)","Biology, ECS, others (check)",-,opens 30 Sept,Paid
CERN Summer Student Program,CERN,Switzerland,http://home.cern/summer-student-programme,"4, 5","Physics, Maths",2-3 months,Nov-Jan,Paid
Leiden/ESA Astrophysics Program for Summer Students (LEAPS),Leiden Observatory and ESA,Netherlands,https://leaps.strw.leidenuniv.nl/,"1, 2, 3, 4, 5",Physics,1-2 months,,Paid
ISTERNSHIP,ISTA,Austria,https://phd.pages.ista.ac.at/isternship/,"3, 4, 5","Physics, Chemistry, Maths, Biology",2-3 months,Dec-Jan,Paid
Scientific Internships,ISTA,Austria,https://phd.pages.ista.ac.at/scientific-internships/,5,"Physics, Chemistry, Maths, Biology",More than 3 months,,Paid
Future Research Talent Award,Australian National University,Australia,https://science.anu.edu.au/study/scholarships/future-research-talent-awards-india,"2, 3, 4, 5","Physics, Chemistry, Maths, Biology, ECS",2-3 months,October (Not sure),Paid
Data Science for Social Good (DSSGx),University of Warwick,UK,https://warwick.ac.uk/research/data-science/warwick-data/dssgx/,"4, 5","DS, ML, AI",3 months,16-Dec,Paid
Warwick Statistics Internship Scheme,University of Warwick,UK,https://warwick.ac.uk/fac/sci/statistics/research/internships/,"3, 4, 5",Maths,2 months,12-Feb,Paid
Charpak Scholarship Program,,France,https://www.inde.campusfrance.org/scholarships-for-indian-students,"2, 3, 4, 5",-,-,Early-Mar,Scholarship
NIGINTERN,National Institute of Genetics,Japan,https://www.nig.ac.jp/jimu/soken/intern/2023/index.html,4,Biology,-,End-Feb,Partial
University of Tokyo-Research Internship Program (UTRIP),University of Tokyo,Japan,https://www.s.u-tokyo.ac.jp/en/utrip/apply-now/#check1,"2, 3, 4, 5","Physics, Chemistry, Maths, Biology, ECS",1-2 months,10-Jan,-
Amgen Scholars Program,Multiple,Worldwide,https://amgenscholars.com/,check,check,2-3 months,check,Paid
Online,Polymath Jr,-,https://geometrynyc.wixsite.com/polymathreu,"1, 2, 3, 4, 5",Maths,1-2 months,Early Apr,Unpaid
